Semester,Description,Start Date,End Date,Weeks,Level(s),Institution,Academic Year,Duration (Weeks),Programme,Weeks/Days
I,Orientation Programme,2024-03-04,2024-03-06,1 Week,2022/2023 Intake,University of Kelaniya,All,1,IT/MIT,3 Days
I,Academic Activities,2024-03-05,2024-06-16,1 Week,"Level 2, 3 and 4 ",University of Kelaniya,All,1,IT/MIT,15 Weeks
I,Academic Activities,2024-03-07,2024-06-16,1 Week,Level 1,University of Kelaniya,All,1,IT/MIT,15 Weeks
I,Orientation Programme,2024-04-22,2024-04-26,1 Week,2022/2023 Intake,University of Kelaniya,"20/21, 21/22, 22/23, 23/24",1,All Others,5 Days
I,Academic Activities (BSSS),2024-04-29,2024-08-10,1 Week,Foundation Courses,University of Kelaniya,All,1,All Others,15 Weeks
I,Academic Activities,2024-04-29,2024-08-11,1 Week,All,University of Kelaniya,All,1,All Others,15 Weeks
I,Study Leave,2024-06-17,2024-06-30,1 Week,All,University of Kelaniya,All,1,IT/MIT,2 Weeks
I,Examinations,2024-07-01,2024-07-28,1 Week,All,University of Kelaniya,All,1,IT/MIT,4 Weeks
Vacation,Vacation,2024-07-29,2024-08-18,1 Week,"Level 1, 2 and 4 ",University of Kelaniya,All,1,IT/MIT,3 Weeks
Internship,Internship,2024-08-01,2025-01-31,1 Week,Year 3,University of Kelaniya,"20/21, 21/22, 22/23, 23/24",1,IT/MIT,26 Weeks
I,Additional Practical Sessions,2024-08-12,2024-08-23,1 Week,*Only for AY 2022/2023,University of Kelaniya,All,1,All Others,2 Weeks
II,Academic Activities,2024-08-19,2024-12-01,1 Week,"Level 1, 2 and 4 ",University of Kelaniya,"20/21, 21/22, 22/23, 23/24",1,IT/MIT,15 Weeks
I,Study Leave,2024-08-24,2024-09-08,1 Week,All,University of Kelaniya,All,1,All Others,2 Weeks
I,Examinations,2024-09-09,2024-10-06,1 Week,All,University of Kelaniya,All,1,All Others,4 Weeks
Vacation,Vacation,2024-10-07,2024-10-13,1 Week,All,University of Kelaniya,"20/21, 21/22, 22/23, 23/24",1,All Others,1 Week
II,Academic Activities,2024-10-14,2025-01-24,1 Week,All,University of Kelaniya,All,1,All Others,15 Weeks
II,Study Leave,2024-12-02,2024-12-15,1 Week,"Level 1, 2 and 4 ",University of Kelaniya,"20/21, 21/22, 22/23, 23/24",1,IT/MIT,2 Weeks
II,Examinations,2024-12-16,2025-01-05,1 Week,"Level 1, 2 and 4 ",University of Kelaniya,"20/21, 21/22, 22/23, 23/24",1,IT/MIT,3 Weeks
Vacation,Vacation,2025-01-06,2025-02-02,1 Week,All,University of Kelaniya,All,1,IT/MIT,4 Weeks
II,Study Leave,2025-01-25,2025-02-09,1 Week,All,University of Kelaniya,"20/21, 21/22, 22/23, 23/24",1,All Others,2 Weeks
II,Examinations,2025-02-10,2025-03-09,1 Week,All,University of Kelaniya,All,1,All Others,4 Weeks
Vacation,Vacation,2025-03-10,2025-03-16,1 Week,All,University of Kelaniya,All,1,All Others,1 Week
II,Final date to submit the thesis,2024-04-05,2025-01-24,1 Week,All,University of Kelaniya,All,1,All Others,-
First Semester,Lectures,2023-12-04,2024-01-26,7 Weeks,All,calender in faculty of arts,"20/21, 21/22, 22/23, 23/24",1,All Others,15 Weeks
First Semester,Arts Week,2024-01-29,2024-02-02,1 Week,All,calender in faculty of arts,All,1,All Others,1 Week
First Semester,Mid Semester Vacation,2024-02-05,2024-02-09,1 Week,All,calender in faculty of arts,All,1,IT/MIT,5 Days
First Semester,Lectures,2024-02-12,2024-04-12,8 Weeks,All,calender in faculty of arts,"20/21, 21/22, 22/23, 23/24",1,All Others,15 Weeks
First Semester,Study Leave,2024-04-15,2024-04-26,2 Weeks,All,calender in faculty of arts,"20/21, 21/22, 22/23, 23/24",1,IT/MIT,2 Weeks
First Semester,End Semester Exam,2024-04-29,2024-05-31,4 Weeks,All,calender in faculty of arts,All,1,All Others,1 Week
First Semester,Vacation,2024-06-03,2024-06-28,4 Weeks,All,calender in faculty of arts,All,1,IT/MIT,3 Days
Second Semester,Lectures,2024-07-01,2024-08-16,7 Weeks,All,calender in faculty of arts,"20/21, 21/22, 22/23, 23/24",1,All Others,26 Weeks
