student_id,month,year,income,accommodation,food,transport,education,entertainment,utilities,degree_type,location,semester
1,7,2024,38857.72201988519,9372.357598010105,4160.524328562456,2774.8998002412295,7311.059178564709,1395.8811698187767,2338.695445274396,Medicine,Jaffna,3
2,4,2025,33600.662568287706,5846.5200041275875,10726.873379976065,2157.6291942726566,5406.79062010051,2389.098603441106,2250.6596053453914,Engineering,Colombo,1
3,11,2024,43948.47302383353,14827.269717254936,6198.9628579904065,4000.6627051583437,6626.632145203486,2370.8435439989144,1587.253809704928,Engineering,Kandy,4
4,8,2024,21607.691344004008,15721.024624967802,6094.293730006712,3323.6984420148997,4781.090802325365,2573.7316221550423,2338.3764364089825,Arts,Matara,7
5,5,2024,22172.586050112033,15539.97354432444,11875.624181930416,4290.213811994244,8463.849364644793,1609.5164235573236,1315.9094232835319,Medicine,Ratnapura,7
6,7,2025,8786.70296205328,12836.276920471462,8174.255786829556,1709.6489152556583,765.9838955873033,2664.1075195028843,725.3719904909576,Commerce,Kandy,7
7,10,2025,29569.5513645437,8131.727026111717,8190.595569203936,4211.668486010926,5752.355102567469,2906.6678305183495,2652.5246515261656,Engineering,Matara,5
8,3,2023,28002.010044949748,21751.07835223892,7550.5013871211695,1451.5425432317284,7683.498967503195,1028.8335053789917,1819.684971874062,Science,Matara,6
9,7,2025,20496.050627714667,13919.149771936702,4940.044833142075,2711.8278538451327,5210.6780896587925,1762.501936514075,579.2215496760481,Science,Ratnapura,2
10,11,2025,24345.194148095536,11304.453433643328,9689.24237348597,3412.7827528239263,5604.717386033823,2940.0188655686707,2435.4291471824167,Science,Kandy,7
11,11,2025,14510.231918599078,11322.20305006653,9023.626304814059,3186.013378199094,4131.976374865983,1480.3554401176916,1053.9465089347295,Commerce,Ratnapura,7
12,8,2025,34587.55962265349,12598.389912294215,8421.728313348582,4060.592335982367,5041.377015733235,2423.010021746672,1184.47064536492,Commerce,Galle,1
13,5,2023,21082.40420377352,16278.433048631923,7709.192401809355,1173.3399829907764,1656.2867737273898,2006.860801601945,2112.829883449923,Arts,Ratnapura,8
14,4,2025,49752.39212496761,12758.51249322181,7269.200876654282,3141.0074796990366,3563.137334760617,2264.703457138807,2317.024268194017,Arts,Jaffna,3
15,8,2024,23595.189594311738,15434.052613789989,10281.208473868537,4199.642032783947,3426.4897457955435,2031.245042153769,899.556582935242,Arts,Colombo,7
16,8,2024,18923.04927161352,12605.590751572829,7646.767341984762,3059.2942270720964,6338.247982058596,2596.936787651417,2382.5944572160674,Law,Colombo,4
17,3,2025,21701.495050121106,11550.584434118477,7839.847403665277,1857.6603202332974,3857.260481424531,1182.7862913088975,2024.5420778456646,Science,Colombo,3
18,6,2025,13704.312187645992,14565.001573313557,9324.732887209433,4007.5073948266527,3915.0489001203596,1269.3414047021706,1020.1507128368154,Commerce,Kandy,6
