Timestamp,What is your current academic level?,What is your primary source of funding for your studies and living expenses?,What is your approximate monthly income/financial support? (in LKR),How much do you spend on TRANSPORTATION per month? (in LKR),Rate your comfort level with your current financial situation.,How would you rate the affordability of the following expenses in your area? [Accommodation (Rent/Housing)],How would you rate the affordability of the following expenses in your area? [Groceries/Food],"How would you rate the affordability of the following expenses in your area? [Course Materials (Books, supplies)]",How would you rate the affordability of the following expenses in your area? [Transportation],How would you rate the affordability of the following expenses in your area? [Social/Leisure Activities],In which areas do you wish you had more financial assistance or resources?,Approximately how many hours per week do you spend working (paid job)?,Please provide any additional comments on your student budget or financial challenges.
18/11/2025 23:03:49,Undergraduate,Parental/Family Support,"Less than LKR 15,000",90,3,Unaffordable,Neutral,Neutral,Affordable,Neutral,Accommodation,1-5 hours,
18/11/2025 23:10:30,Undergraduate,Parental/Family Support,Prefer not to say,5000,4,Neutral,Neutral,Neutral,Neutral,Neutral,None of the above,6-10 hours,
18/11/2025 23:17:34,Undergraduate,"Parental/Family Support, Part-time Job, Savings","LKR 35,001 - 50,000",12000,2,Neutral,Affordable,Unaffordable,Affordable,Affordable,"Accommodation, Career Development Workshops, Emergency Funding",6-10 hours,Must be have a fund for health and medicare 
18/11/2025 23:50:15,Undergraduate,Parental/Family Support,"LKR 25,001 - 35,000",15000,3,Neutral,Affordable,Neutral,Neutral,Neutral,"Accommodation, Mental Health Services, Career Development Workshops, Emergency Funding",0 hours,
19/11/2025 04:37:06,Undergraduate,Parental/Family Support,"LKR 50,001 - 75,000",15000,3,Neutral,Neutral,Neutral,Affordable,Neutral,"Tuition Fees, Accommodation",6-10 hours,
19/11/2025 06:57:25,Undergraduate,"Parental/Family Support, Savings","LKR 25,001 - 35,000",10000,3,Neutral,Affordable,Unaffordable,Neutral,Affordable,"Career Development Workshops, Emergency Funding",More than 20 hours,
19/11/2025 09:03:18,Undergraduate,"Parental/Family Support, Part-time Job, Savings","LKR 35,001 - 50,000",5000,3,Affordable,Affordable,Neutral,Very Affordable,Affordable,"Tuition Fees, Mental Health Services, Career Development Workshops",6-10 hours,
19/11/2025 09:18:16,Undergraduate,"Parental/Family Support, Part-time Job","LKR 50,001 - 75,000",10000,4,Very Unaffordable,Unaffordable,Very Unaffordable,Unaffordable,Very Unaffordable,"Tuition Fees, Accommodation",6-10 hours,...
19/11/2025 10:03:24,Undergraduate,Parental/Family Support,"LKR 50,001 - 75,000",20000,3,Neutral,Affordable,Affordable,Affordable,Unaffordable,"Accommodation, Emergency Funding",1-5 hours,It's better if you could make a plan to help students save some money by balancing the income they get 
19/11/2025 11:47:39,Undergraduate,"Parental/Family Support, Part-time Job","More than LKR 75,000",12000,3,Affordable,Affordable,Neutral,Affordable,Affordable,Accommodation,1-5 hours,
22/11/2025 10:01:19,Undergraduate,Parental/Family Support,"LKR 50,001 - 75,000",6000,3,Affordable,Neutral,Neutral,Affordable,Neutral,Emergency Funding,6-10 hours,
22/11/2025 10:29:19,Undergraduate,"Parental/Family Support, Part-time Job","LKR 50,001 - 75,000",10000,2,Neutral,Neutral,Neutral,Neutral,Unaffordable,"Tuition Fees, Accommodation, Mental Health Services, Career Development Workshops",More than 20 hours,
22/11/2025 10:51:50,Undergraduate,"Parental/Family Support, Student Loans, Scholarship/Grants, Savings","More than LKR 75,000",23000,1,Very Unaffordable,Very Unaffordable,Very Unaffordable,Very Unaffordable,Very Unaffordable,"Tuition Fees, Accommodation, Mental Health Services, Career Development Workshops, Emergency Funding",6-10 hours,
22/11/2025 13:11:21,Undergraduate,"Parental/Family Support, Part-time Job, Savings","LKR 50,001 - 75,000",7000,3,Very Affordable,Affordable,Very Affordable,Affordable,Neutral,"Tuition Fees, Accommodation, Career Development Workshops",More than 20 hours,
22/11/2025 13:13:04,Undergraduate,Parental/Family Support,"Less than LKR 15,000",200,1,Unaffordable,Unaffordable,Neutral,Affordable,Affordable,"Accommodation, Mental Health Services",6-10 hours,The country sucks
22/11/2025 15:50:12,Undergraduate,Parental/Family Support,"LKR 25,001 - 35,000",10000,3,Unaffordable,Neutral,Affordable,Affordable,Unaffordable,"Tuition Fees, Accommodation",,
22/11/2025 22:52:05,Undergraduate,Parental/Family Support,"LKR 50,001 - 75,000",8000,3,Affordable,Neutral,Neutral,Neutral,Neutral,"Tuition Fees, Accommodation, Mental Health Services, Career Development Workshops, Emergency Funding",More than 20 hours,
22/11/2025 23:04:29,Undergraduate,Parental/Family Support,"More than LKR 75,000",25000,2,Neutral,Neutral,Affordable,Affordable,Affordable,,,
26/10/2025 15:06:27,Undergraduate,Scholarship/Grants,"LKR 25,001 - 35,000",2844,2,Very Affordable,Unaffordable,Neutral,Unaffordable,Very Affordable,"Accommodation, Career Development Workshops",16-20 hours,The country sucks
07/11/2025 21:32:47,Undergraduate,"Other (e.g., Freelancing), Savings, Parental/Family Support","LKR 35,001 - 50,000",6964,2,Very Affordable,Neutral,Very Affordable,Unaffordable,Neutral,"Tuition Fees, Groceries/Food, Career Development Workshops",16-20 hours,Scholarship funds are delayed.
07/11/2025 00:59:26,Postgraduate,"Student Loans, Parental/Family Support","More than LKR 75,000",21946,3,Very Unaffordable,Very Unaffordable,Very Unaffordable,Very Unaffordable,Very Affordable,None of the above,0 hours,
22/11/2025 13:11:21,Undergraduate,"Savings, Parental/Family Support, Scholarship/Grants","Less than LKR 15,000",685,3,Very Unaffordable,Very Affordable,Very Unaffordable,Neutral,Affordable,"Mental Health Services, Tuition Fees, None of the above",6-10 hours,
06/11/2025 12:55:08,Postgraduate,"Student Loans, Part-time Job","LKR 50,001 - 75,000",12471,2,Affordable,Unaffordable,Affordable,Very Unaffordable,Affordable,"Emergency Funding, Career Development Workshops",6-10 hours,Financial stress is very high this semester.
19/11/2025 17:04:45,Undergraduate,Student Loans,"LKR 35,001 - 50,000",2393,4,Unaffordable,Unaffordable,Affordable,Neutral,Very Affordable,"Tuition Fees, Accommodation, Career Development Workshops",0 hours,
18/11/2025 16:30:29,Postgraduate,"Parental/Family Support, Student Loans, Other (e.g., Freelancing)","LKR 15,001 - 25,000",8995,2,Very Unaffordable,Very Unaffordable,Affordable,Very Affordable,Very Affordable,"Career Development Workshops, Accommodation, Groceries/Food",6-10 hours,Scholarship funds are delayed.
02/11/2025 18:41:13,Postgraduate,Scholarship/Grants,"LKR 25,001 - 35,000",9570,5,Very Unaffordable,Very Affordable,Very Unaffordable,Unaffordable,Affordable,"Mental Health Services, Accommodation",1-5 hours,
11/11/2025 14:44:10,Postgraduate,Savings,"More than LKR 75,000",29315,2,Very Unaffordable,Affordable,Very Affordable,Very Unaffordable,Affordable,Emergency Funding,6-10 hours,I need to work more to cover rent.
03/11/2025 19:32:25,Undergraduate,Part-time Job,"More than LKR 75,000",21233,1,Affordable,Neutral,Affordable,Neutral,Unaffordable,"Emergency Funding, Career Development Workshops",0 hours,
18/11/2025 07:18:40,Undergraduate,"Other (e.g., Freelancing)","LKR 15,001 - 25,000",5541,1,Affordable,Neutral,Unaffordable,Neutral,Affordable,"Tuition Fees, Career Development Workshops",11-15 hours,I need to work more to cover rent.
05/11/2025 15:41:52,Postgraduate,"Student Loans, Parental/Family Support, Scholarship/Grants","Less than LKR 15,000",348,5,Very Unaffordable,Unaffordable,Unaffordable,Very Affordable,Affordable,"Accommodation, Emergency Funding, Tuition Fees",1-5 hours,
19/11/2025 09:21:58,Postgraduate,"Other (e.g., Freelancing), Scholarship/Grants, Parental/Family Support","LKR 35,001 - 50,000",9967,4,Unaffordable,Unaffordable,Very Unaffordable,Very Unaffordable,Unaffordable,"None of the above, Mental Health Services",1-5 hours,
05/11/2025 16:56:43,Postgraduate,Savings,Prefer not to say,7096,5,Affordable,Very Affordable,Very Affordable,Affordable,Unaffordable,"Accommodation, Career Development Workshops",6-10 hours,
20/11/2025 00:50:36,Postgraduate,Part-time Job,Prefer not to say,9003,4,Affordable,Unaffordable,Very Affordable,Unaffordable,Very Affordable,"None of the above, Career Development Workshops",16-20 hours,
26/10/2025 14:09:32,Postgraduate,"Other (e.g., Freelancing), Student Loans, Savings","More than LKR 75,000",28153,2,Affordable,Affordable,Very Affordable,Very Affordable,Neutral,"Accommodation, Emergency Funding, Tuition Fees",More than 20 hours,
22/11/2025 04:58:14,Undergraduate,"Student Loans, Other (e.g., Freelancing), Part-time Job","LKR 50,001 - 75,000",26018,2,Affordable,Unaffordable,Neutral,Neutral,Neutral,"Accommodation, Emergency Funding",1-5 hours,I need to work more to cover rent.
07/11/2025 11:07:34,Postgraduate,Student Loans,"LKR 15,001 - 25,000",8585,2,Neutral,Unaffordable,Very Affordable,Very Affordable,Very Unaffordable,Tuition Fees,More than 20 hours,I need to work more to cover rent.
