role_id,role_title,skill_id,skill_name,skill_meta_cat,frequency,importance,proficiency_level,skill_category
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK001,java,backend,0.1875,0.070498,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK002,javascript,frontend,0.046296,0.011163,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK003,sql,database,0.194444,0.022604,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK004,python,other,0.613426,0.0,advanced,important
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK005,css,frontend,0.023148,0.005582,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK006,html,frontend,0.018519,0.004465,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK007,mobile,other,0.037037,0.004306,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK008,mysql,database,0.041667,0.010047,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK009,git,other,0.148148,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK010,java developer,backend,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK011,infrastructure,other,0.180556,0.043536,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK012,database,database,0.0625,0.01507,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK013,rest,other,0.069444,0.026111,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK014,c,other,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK015,jquery,other,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK016,security,other,0.127315,0.014801,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK017,php,backend,0.00463,0.001741,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK018,spring,backend,0.002315,0.001581,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK019,json,frontend,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK020,linux,other,0.092593,0.010764,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK021,api,other,0.060185,0.022629,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK022,html5,frontend,0.013889,0.007258,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK023,xml,ml_ai,0.030093,0.015726,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK024,devops,devops,0.041667,0.015666,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK025,hibernate,other,0.002315,0.002452,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK026,web developer,other,0.074074,0.008611,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK027,debugging,other,0.05787,0.021759,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK028,problem solving,soft_skill,0.324074,0.0,beginner,nice_to_have
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK029,docker,devops,0.097222,0.011302,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK030,j2ee,other,0.009259,0.00797,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK031,machine learning,ml_ai,0.659722,0.159073,advanced,important
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK032,oracle,database,0.006944,0.002611,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK033,ajax,other,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK034,algorithms,other,0.331019,0.172991,beginner,nice_to_have
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK035,storage,other,0.027778,0.010444,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK036,spring boot,backend,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK037,mvc,other,0.00463,0.003163,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK038,team player,soft_skill,0.030093,0.007256,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK039,nosql,database,0.034722,0.023722,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK040,software engineering,other,0.06713,0.02524,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK041,software engineer,other,0.354167,0.0,beginner,nice_to_have
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK042,bootstrap,other,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK043,big data,other,0.155093,0.058313,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK044,data structures,other,0.074074,0.027851,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK045,information technology,other,0.032407,0.012185,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK046,soap,other,0.027778,0.018978,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK047,mongodb,database,0.018519,0.015939,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK048,wordpress,other,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK049,.net,backend,0.023148,0.008704,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK050,written communication,soft_skill,0.048611,0.011721,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK051,maven,other,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK052,web development,other,0.013889,0.005222,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK053,laravel,backend,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK054,oops,other,0.006944,0.003629,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK055,ios,mobile,0.002315,0.001581,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK056,svn,other,0.00463,0.001741,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK057,network engineer,other,0.282407,0.068094,beginner,nice_to_have
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK058,apache,other,0.013889,0.005222,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK059,web technologies,other,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK060,hadoop,other,0.136574,0.071374,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK061,windows,other,0.032407,0.007814,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK062,jsp,frontend,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK063,github,other,0.030093,0.020559,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK064,unix,other,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK065,angularjs,frontend,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK066,php developer,backend,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK067,business analyst,other,0.340278,0.039558,beginner,nice_to_have
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK068,solution architect,other,0.125,0.014531,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK069,spring mvc,backend,0.002315,0.003574,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK070,android developer,mobile,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK071,ios developer,mobile,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK072,junit,other,0.002315,0.002452,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK073,spring framework,backend,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK074,fundamentals,other,0.041667,0.010047,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK075,rdbms,other,0.018519,0.012652,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK076,node.js,frontend,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK077,postgresql,database,0.00463,0.002419,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK078,swift,mobile,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK079,struts,other,0.002315,0.002973,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK080,technical skills,other,0.020833,0.007833,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK081,android sdk,mobile,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK082,rest api,other,0.00463,0.002419,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK083,android development,mobile,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK084,jpa,other,0.002315,0.004285,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK085,scala,other,0.032407,0.041617,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK086,eclipse,other,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK087,messaging,other,0.00463,0.002419,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK088,ruby,other,0.00463,0.003985,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK089,gradle,other,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK090,jdbc,other,0.002315,0.001992,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK091,artificial intelligence,devops,0.236111,0.203228,beginner,nice_to_have
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK092,codeigniter,other,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK093,cisco,devops,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK094,oop,other,0.018519,0.004465,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK095,hardware,other,0.222222,0.053583,beginner,nice_to_have
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK096,software developer,other,0.006944,0.005977,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK097,software design,other,0.011574,0.006049,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK098,mvvm,other,0.00463,0.007148,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK099,magento,other,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK100,memory management,other,0.00463,0.003985,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK1000,monday.com,project_mgmt,0.006944,0.001674,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK1001,linear,project_mgmt,0.048611,0.062426,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK1002,github projects,project_mgmt,0.002315,0.007859,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK1003,requirements gathering,business,0.00463,0.003163,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK1004,product strategy,business,0.025463,0.009574,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK1005,customer empathy,business,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK1006,market research,business,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK1007,value proposition,business,0.006944,0.005977,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK1008,revenue modeling,business,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK1009,kpi definition,business,0.06713,0.016186,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK101,cloud services,cloud,0.009259,0.006326,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK1010,data driven decisions,business,0.00463,0.003985,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK1011,user experience focus,business,0.020833,0.010888,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK1012,go to market strategy,business,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK1013,technical sales,business,0.009259,0.006326,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK1014,roi analysis,business,0.002315,0.001992,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK1015,process improvement,business,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK1016,digital transformation,business,0.006944,0.003629,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK1017,startup mindset,business,0.037037,0.013926,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK1018,enterprise architecture,business,0.025463,0.02697,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK1019,business intelligence,business,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK102,project manager,other,0.19213,0.022335,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK1020,contract negotiation,business,0.00463,0.002419,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK1021,compliance management,business,0.020833,0.014233,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK1022,it governance,business,0.020833,0.010888,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK1023,technology evaluation,business,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK1024,privacy by design,business,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK1025,accessibility,business,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK1026,sustainability tech,business,0.011574,0.012259,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK1027,aws solutions architect associate,certification,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK1028,aws solutions architect professional,certification,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK1029,aws developer associate,certification,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK103,asp.net,backend,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK1030,aws sysops administrator,certification,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK1031,aws devops engineer professional,certification,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK1032,aws data analytics specialty,certification,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK1033,aws machine learning specialty,certification,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK1034,aws security specialty,certification,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK1035,aws cloud practitioner,certification,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK1036,aws database specialty,certification,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK1037,azure fundamentals az-900,certification,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK1038,azure administrator az-104,certification,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK1039,azure developer az-204,certification,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK104,joomla,ml_ai,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK1040,azure solutions architect az-305,certification,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK1041,azure devops engineer az-400,certification,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK1042,azure data engineer dp-203,certification,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK1043,azure ai engineer ai-102,certification,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK1044,azure security engineer az-500,certification,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK1045,gcp cloud engineer,certification,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK1046,gcp professional architect,certification,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK1047,gcp data engineer,certification,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK1048,gcp ml engineer,certification,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK1049,gcp devops engineer,certification,0.0,0.0,optional,optional
AI_ML_ENGINEER_INT,AI / ML Engineer (Entry Level),SK105,cassandra,other,0.00463,0.003985,optional,optional
