skill_id,name,aliases,category,type
SK001,java,java,backend,technical
SK002,javascript,javascript,frontend,technical
SK003,sql,sql,database,technical
SK004,python,python,other,technical
SK005,css,css,frontend,technical
SK006,html,html,frontend,technical
SK007,mobile,mobile,other,technical
SK008,mysql,mysql,database,technical
SK009,git,git,other,technical
SK010,java developer,java developer,backend,technical
SK011,infrastructure,infrastructure,other,technical
SK012,database,database,database,technical
SK013,rest,rest,other,technical
SK014,c,c,other,technical
SK015,jquery,jquery,other,technical
SK016,security,security,other,technical
SK017,php,php,backend,technical
SK018,spring,spring,backend,technical
SK019,json,json,frontend,technical
SK020,linux,linux,other,technical
SK021,api,api,other,technical
SK022,html5,html5,frontend,technical
SK023,xml,xml,ml_ai,technical
SK024,devops,devops,devops,technical
SK025,hibernate,hibernate,other,technical
SK026,web developer,web developer,other,technical
SK027,debugging,debugging,other,technical
SK028,problem solving,problem solving,soft_skill,soft
SK029,docker,docker,devops,technical
SK030,j2ee,j2ee,other,technical
SK031,machine learning,machine learning,ml_ai,technical
SK032,oracle,oracle,database,technical
SK033,ajax,ajax,other,technical
SK034,algorithms,algorithms,other,technical
SK035,storage,storage,other,technical
SK036,spring boot,spring boot,backend,technical
SK037,mvc,mvc,other,technical
SK038,team player,team player,soft_skill,soft
SK039,nosql,nosql,database,technical
SK040,software engineering,software engineering,other,technical
SK041,software engineer,software engineer,other,technical
SK042,bootstrap,bootstrap,other,technical
SK043,big data,big data,other,technical
SK044,data structures,data structures,other,technical
SK045,information technology,information technology,other,technical
SK046,soap,soap,other,technical
SK047,mongodb,mongodb,database,technical
SK048,wordpress,wordpress,other,technical
SK049,.net,.net,backend,technical
SK050,written communication,written communication,soft_skill,soft
SK051,maven,maven,other,technical
SK052,web development,web development,other,technical
SK053,laravel,laravel,backend,technical
SK054,oops,oops,other,technical
SK055,ios,ios,mobile,technical
SK056,svn,svn,other,technical
SK057,network engineer,network engineer,other,technical
SK058,apache,apache,other,technical
SK059,web technologies,web technologies,other,technical
SK060,hadoop,hadoop,other,technical
SK061,windows,windows,other,technical
SK062,jsp,jsp,frontend,technical
SK063,github,github,other,technical
SK064,unix,unix,other,technical
SK065,angularjs,angularjs,frontend,technical
SK066,php developer,php developer,backend,technical
SK067,business analyst,business analyst,other,technical
SK068,solution architect,solution architect,other,technical
SK069,spring mvc,spring mvc,backend,technical
SK070,android developer,android developer,mobile,technical
SK071,ios developer,ios developer,mobile,technical
SK072,junit,junit,other,technical
SK073,spring framework,spring framework,backend,technical
SK074,fundamentals,fundamentals,other,technical
SK075,rdbms,rdbms,other,technical
SK076,node.js,node.js,frontend,technical
SK077,postgresql,postgresql,database,technical
SK078,swift,swift,mobile,technical
SK079,struts,struts,other,technical
SK080,technical skills,technical skills,other,technical
SK081,android sdk,android sdk,mobile,technical
SK082,rest api,rest api,other,technical
SK083,android development,android development,mobile,technical
SK084,jpa,jpa,other,technical
SK085,scala,scala,other,technical
SK086,eclipse,eclipse,other,technical
SK087,messaging,messaging,other,technical
SK088,ruby,ruby,other,technical
SK089,gradle,gradle,other,technical
SK090,jdbc,jdbc,other,technical
SK091,artificial intelligence,artificial intelligence,devops,technical
SK092,codeigniter,codeigniter,other,technical
SK093,cisco,cisco,devops,technical
SK094,oop,oop,other,technical
SK095,hardware,hardware,other,technical
SK096,software developer,software developer,other,technical
SK097,software design,software design,other,technical
SK098,mvvm,mvvm,other,technical
SK099,magento,magento,other,technical
SK100,memory management,memory management,other,technical
SK101,cloud services,cloud services,cloud,technical
SK102,project manager,project manager,other,technical
SK103,asp.net,asp.net,backend,technical
SK104,joomla,joomla,ml_ai,technical
SK105,cassandra,cassandra,other,technical
SK106,hive,hive,other,technical
SK107,network,network,other,technical
SK108,crm,crm,other,technical
SK109,bug fixing,bug fixing,other,technical
SK110,django,django,backend,technical
SK111,project management,project management,other,technical
SK112,orchestration,orchestration,other,technical
SK113,react.js,react.js,frontend,technical
SK114,multithreading,multithreading,other,technical
SK115,data mining,data mining,other,technical
SK116,cocoa touch,cocoa touch,other,technical
SK117,system administrator,system administrator,other,technical
SK118,san,san,other,technical
SK119,java ee,java ee,backend,technical
SK120,object oriented programming,object oriented programming,other,technical
SK121,uml,uml,ml_ai,technical
SK122,software development,software development,other,technical
SK123,senior software engineer,senior software engineer,other,technical
SK124,data analyst,data analyst,other,technical
SK125,drupal,drupal,other,technical
SK126,wan,wan,other,technical
SK127,bgp,bgp,other,technical
SK128,ospf,ospf,other,technical
SK129,data warehousing,data warehousing,other,technical
SK130,telecom,telecom,other,technical
SK131,servlets,servlets,other,technical
