job_uid,job_title,job_title_clean,role_id,role_title,matched_skill_ids,matched_skills,matched_skill_count,experience_level,education_level,domain,current_status,job_type_clean
JOBS_000001,"(Jr/Sr) QA Engineer, KMS Labs - BONUS",QA Engineer (Entry Level),JR_QA_ENG,QA Engineer (Entry Level),SK161;SK239;SK007;SK028;SK206;SK041;SK068;SK117;SK135;SK026,agile;computer science;mobile;problem solving;production support;software;solution;system;testing;web,10,1-3,bachelors,QA,working,full_time
JOBS_000006,Sr IT Business Analyst (English) - BONUS,Business Analyst (Entry Level),JR_BUSINESS_ANALYST,Business Analyst (Entry Level),SK161;SK067;SK148;SK225;SK102;SK041;SK122;SK050,agile;business;business requirements;it;project;software;software development;written communication,8,5+,bachelors,DATA,working,full_time
JOBS_000009,Senior Data Engineer - BONUS,Data Engineer (Entry Level),DATA_ENGINEER_INT,Data Engineer (Entry Level),SK161;SK067;SK145;SK124;SK253;SK129;SK012;SK192;SK220;SK225;SK001;SK285;SK102;SK041;SK003;SK184,agile;business;business analysis;data;data analytics;data warehousing;database;etl;groovy;it;java;programming;project;software;sql;technical requirements,16,5+,bachelors,DATA,working,full_time
JOBS_000011,(Junior/Senior) Test Engineer - BONUS,QA Engineer (Entry Level),JR_QA_ENG,QA Engineer (Entry Level),SK021;SK225;SK072;SK007;SK028;SK041;SK122;SK286;SK135;SK026,api;it;junit;mobile;problem solving;software;software development;software testing;testing;web,10,0-1,bachelors,QA,graduate,full_time
JOBS_000016,Principle Data Engineer (Medior/Senior),Data Engineer (Entry Level),DATA_ENGINEER_INT,Data Engineer (Entry Level),SK161;SK181;SK043;SK124;SK115;SK012;SK024;SK009;SK011;SK225;SK032;SK285;SK102;SK004;SK016;SK068;SK003;SK035;SK026,agile;aws;big data;data;data mining;database;devops;git;infrastructure;it;oracle;programming;project;python;security;solution;sql;storage;web,19,5+,bachelors,DATA,working,full_time
JOBS_000033,Fresher Software Engineer (Core Banking),Junior Software Engineer,JR_SE,Junior Software Engineer,SK181;SK024;SK225;SK001;SK120;SK285;SK004;SK016;SK041;SK122;SK018;SK117;SK026;SK052,aws;devops;it;java;object oriented programming;programming;python;security;software;software development;spring;system;web;web development,14,5+,bachelors,SOFTWARE_ENGINEERING,working,full_time
JOBS_000035,Embedded Software Tester (Joining Bonus),QA Engineer (Entry Level),JR_QA_ENG,QA Engineer (Entry Level),SK027;SK225;SK295;SK187;SK285;SK004;SK041;SK286;SK117;SK135,debugging;it;mentor;operating system;programming;python;software;software testing;system;testing,10,0-1,bachelors,QA,graduate,full_time
JOBS_000044,Java API Developer,Junior Backend Developer,JR_BE_DEV,Junior Backend Developer,SK161;SK021;SK067;SK166;SK012;SK024;SK001;SK002;SK007;SK028;SK285;SK102;SK041;SK122;SK018;SK038;SK135,agile;api;business;coding;database;devops;java;javascript;mobile;problem solving;programming;project;software;software development;spring;team player;testing,17,5+,bachelors,SOFTWARE_ENGINEERING,working,full_time
JOBS_000051,"DevOps Engineer (AWS, Cloud)",DevOps / Cloud Trainee,DEVOPS_TRAINEE,DevOps / Cloud Trainee,SK161;SK181;SK067;SK182;SK024;SK282;SK011;SK020;SK087;SK112;SK285;SK004;SK038,agile;aws;business;configuration;devops;implementation;infrastructure;linux;messaging;orchestration;programming;python;team player,13,0-1,bachelors,DEVOPS,graduate,full_time
JOBS_000052,Senior iOS Mobile Developer (Swift),Junior Mobile Developer,JR_MOBILE_DEV,Junior Mobile Developer,SK161;SK070;SK083;SK282;SK055;SK001;SK007;SK013;SK016;SK068;SK078;SK038,agile;android;android development;implementation;ios;java;mobile;rest;security;solution;swift;team player,12,5+,bachelors,MOBILE,working,full_time
