job_uid,job_title,role_id,role_title,domain,experience_level,education_level,current_status,job_type_clean
JOBS_000001,"(Jr/Sr) QA Engineer, KMS Labs - BONUS",QA_AUTOMATION_ENG,QA Automation Engineer,QA_TESTING,1-3,bachelors,working,full_time
JOBS_000002,Engineering Manager - BONUS,JR_PROJECT_MANAGER,Junior Project Manager,PROJECT_MANAGEMENT,unknown,bachelors,graduate,full_time
JOBS_000003,"Fullstack Mobile (Mobile,NodeJs) Kobiton",MOBILE_DEV,Mobile Developer,MOBILE_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000004,(Jr/Sr/Principal) Java Developer- BONUS,STAFF_BE_DEV,Staff Backend Developer,FULLSTACK_ENGINEERING,5+,masters,working,full_time
JOBS_000005,"Product Manager, KMS Labs - BONUS",JR_PROJECT_MANAGER,Junior Project Manager,PROJECT_MANAGEMENT,unknown,bachelors,graduate,full_time
JOBS_000006,Sr IT Business Analyst (English) - BONUS,SENIOR_MOBILE_DEV,Senior Mobile Developer,MOBILE_ENGINEERING,5+,masters,working,full_time
JOBS_000007,"Fullstack Dev (ReactJs,NodeJs) - Kobiton",FE_DEV,Frontend Developer,FULLSTACK_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000008,Senior Ruby on Rails Engineer - BONUS,SENIOR_SRE,Senior SRE,DEVOPS_SRE,5+,masters,working,full_time
JOBS_000009,Senior Data Engineer - BONUS,SENIOR_DATA_ENGINEER,Senior Data Engineer,DATA_ENGINEERING,5+,masters,working,full_time
JOBS_000010,"Sr/Jr Fullstack (NodeJS,ReactJS) - BONUS",FE_DEV,Frontend Developer,FULLSTACK_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000011,(Junior/Senior) Test Engineer - BONUS,JR_QA_ENG,QA Engineer (Entry Level),QA_TESTING,0-1,bachelors,graduate,full_time
JOBS_000012,(Jr/Sr/Principal) .NET Developer - BONUS,STAFF_BE_DEV,Staff Backend Developer,FULLSTACK_ENGINEERING,5+,masters,working,full_time
JOBS_000013,Scrum Master (Iteration Lead),SENIOR_PROGRAM_MANAGER,Senior Program Manager,FULLSTACK_ENGINEERING,5+,masters,working,full_time
JOBS_000014,Engineering Manager,STAFF_CLOUD_ENG,Staff Cloud Engineer,CLOUD_ENGINEERING,unknown,bachelors,graduate,full_time
JOBS_000015,Java Engineers (Mid/Senior/Lead),SENIOR_BE_DEV,Senior Backend Developer,FULLSTACK_ENGINEERING,5+,masters,working,full_time
JOBS_000016,Principle Data Engineer (Medior/Senior),SENIOR_DATA_ENGINEER,Senior Data Engineer,DATA_ENGINEERING,5+,masters,working,full_time
JOBS_000017,"Graphics Engineer (Linux, C++)",MOBILE_DEV,Mobile Developer,MOBILE_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000018,Frontend ReactJS Engineer (Mid/Sr./Lead),LEAD_FE_DEV,Lead Frontend Developer,FULLSTACK_ENGINEERING,5+,masters,working,full_time
JOBS_000019,Embedded Software Fresher,SE_II,Software Engineer II,FULLSTACK_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000020,Automotive E/E Architecture Engineer,ML_RESEARCH_SCIENTIST,ML Research Scientist,AI_ML,1-3,bachelors,working,full_time
JOBS_000021,Java Full-stack/Technical Lead,LEAD_BE_DEV,Lead Backend Developer,FULLSTACK_ENGINEERING,5+,masters,working,full_time
JOBS_000022,Senior Quality Audit for SW Project,SENIOR_DATA_ENGINEER,Senior Data Engineer,DATA_ENGINEERING,5+,masters,working,full_time
JOBS_000023,Agile Master - Technical Manager,STAFF_DATA_ENGINEER,Staff Data Engineer,DATA_ENGINEERING,unknown,bachelors,graduate,full_time
