token,frequency
java,4319
javascript,2872
sql,2509
python,2033
css,1976
html,1896
mobile,1870
mysql,1771
git,1761
java developer,1733
infrastructure,1679
database,1639
rest,1538
c,1476
jquery,1465
security,1388
php,1385
spring,1245
json,1231
linux,1208
api,1159
html5,1086
xml,1061
devops,1056
hibernate,1050
web developer,987
debugging,946
problem solving,940
docker,937
j2ee,936
machine learning,923
oracle,892
ajax,864
algorithms,830
storage,807
spring boot,795
mvc,753
team player,731
nosql,711
software engineering,694
software engineer,674
bootstrap,669
big data,634
data structures,612
information technology,610
soap,601
mongodb,560
wordpress,543
.net,529
written communication,514
maven,506
web development,504
laravel,491
oops,491
ios,481
svn,469
network engineer,455
apache,444
web technologies,439
hadoop,424
windows,415
jsp,414
github,410
unix,396
angularjs,390
php developer,390
business analyst,358
solution architect,352
android developer,346
spring mvc,346
ios developer,345
junit,336
fundamentals,329
spring framework,329
node.js,328
rdbms,328
postgresql,323
swift,319
struts,317
technical skills,316
android sdk,313
rest api,312
android development,302
jpa,295
scala,293
eclipse,286
messaging,271
ruby,270
gradle,266
jdbc,265
artificial intelligence,261
codeigniter,260
cisco,252
oop,250
software developer,250
hardware,250
software design,245
mvvm,243
magento,242
memory management,240
cloud services,237
asp.net,233
project manager,233
cassandra,231
joomla,231
hive,230
network,225
crm,224
bug fixing,223
django,220
project management,219
orchestration,219
react.js,216
multithreading,207
data mining,204
cocoa touch,202
system administrator,201
san,199
java ee,198
object oriented programming,198
software development,195
uml,195
senior software engineer,191
data analyst,190
drupal,189
wan,188
data warehousing,184
bgp,184
ospf,184
telecom,178
servlets,174
networking,172
threading,170
graphics,169
testing,165
cloud computing,165
hardware engineer,160
ccna,160
system engineer,156
java programming,152
ios development,151
forms,151
mobile development,151
hosting,150
business analysis,149
jee,148
objective c,148
business requirements,145
switching,140
perl,139
xcode,138
web services,138
data entry,137
gateway,136
ant,136
application development,135
routing,135
android studio,133
protocols,132
ccnp,131
agile,128
lan,127
data entry operator,124
consultant,122
coding,120
firewall,120
shell scripting,119
jsf,114
routing protocols,114
network configuration maintenance,114
vpn,114
computer operator,113
dns,112
microsoft azure,111
hbase,107
sql database,107
soa,105
data analysis,105
web api,105
iphone,104
technical requirements,103
configuration,103
weblogic,103
aws,103
mockito,100
elastic search,100
operating system,100
middleware,99
spring security,99
project delivery,99
sybase,98
etl,98
websphere,97
natural language processing,96
visual studio,96
microsoft technologies,94
windows server,93
phonegap,92
entity framework,92
it hardware engineer,91
