role_id,skill_id,frequency,importance,role_title,skill_name
AI_ML_ENGINEER_INT,SK004,1.0,1.0,AI / ML Engineer (Entry Level),python
AI_ML_ENGINEER_INT,SK031,1.0,1.0,AI / ML Engineer (Entry Level),machine learning
AI_ML_ENGINEER_INT,SK057,1.0,1.0,AI / ML Engineer (Entry Level),network engineer
AI_ML_ENGINEER_INT,SK107,1.0,1.0,AI / ML Engineer (Entry Level),network
AI_ML_ENGINEER_INT,SK132,1.0,1.0,AI / ML Engineer (Entry Level),networking
AI_ML_ENGINEER_INT,SK209,1.0,1.0,AI / ML Engineer (Entry Level),network administrator
BE_DEV,SK001,0.7764,0.7764,Backend Developer,java
BE_DEV,SK002,0.3848,0.3848,Backend Developer,javascript
BE_DEV,SK003,0.5604,0.5604,Backend Developer,sql
BE_DEV,SK004,0.1256,0.1256,Backend Developer,python
BE_DEV,SK005,0.2915,0.2915,Backend Developer,css
BE_DEV,SK006,0.3002,0.3002,Backend Developer,html
BE_DEV,SK007,0.1007,0.1007,Backend Developer,mobile
BE_DEV,SK008,0.2478,0.2478,Backend Developer,mysql
BE_DEV,SK009,0.2821,0.2821,Backend Developer,git
BE_DEV,SK010,0.6719,0.6719,Backend Developer,java developer
BE_DEV,SK011,0.087,0.087,Backend Developer,infrastructure
BE_DEV,SK012,0.2424,0.2424,Backend Developer,database
BE_DEV,SK013,0.5131,0.5131,Backend Developer,rest
BE_DEV,SK015,0.1756,0.1756,Backend Developer,jquery
BE_DEV,SK016,0.143,0.143,Backend Developer,security
BE_DEV,SK017,0.1253,0.1253,Backend Developer,php
BE_DEV,SK018,0.5366,0.5366,Backend Developer,spring
BE_DEV,SK019,0.1021,0.1021,Backend Developer,json
BE_DEV,SK020,0.1138,0.1138,Backend Developer,linux
BE_DEV,SK021,0.2908,0.2908,Backend Developer,api
BE_DEV,SK022,0.0964,0.0964,Backend Developer,html5
BE_DEV,SK023,0.1058,0.1058,Backend Developer,xml
BE_DEV,SK024,0.0779,0.0779,Backend Developer,devops
BE_DEV,SK025,0.3227,0.3227,Backend Developer,hibernate
BE_DEV,SK026,0.4698,0.4698,Backend Developer,web developer
BE_DEV,SK027,0.0913,0.0913,Backend Developer,debugging
BE_DEV,SK028,0.1739,0.1739,Backend Developer,problem solving
BE_DEV,SK029,0.137,0.137,Backend Developer,docker
BE_DEV,SK030,0.2787,0.2787,Backend Developer,j2ee
BE_DEV,SK031,0.0289,0.0289,Backend Developer,machine learning
BE_DEV,SK032,0.2001,0.2001,Backend Developer,oracle
BE_DEV,SK033,0.1101,0.1101,Backend Developer,ajax
BE_DEV,SK034,0.0598,0.0598,Backend Developer,algorithms
BE_DEV,SK035,0.0195,0.0195,Backend Developer,storage
BE_DEV,SK036,0.2435,0.2435,Backend Developer,spring boot
BE_DEV,SK037,0.2179,0.2179,Backend Developer,mvc
BE_DEV,SK038,0.0739,0.0739,Backend Developer,team player
BE_DEV,SK039,0.0769,0.0769,Backend Developer,nosql
BE_DEV,SK040,0.0571,0.0571,Backend Developer,software engineering
BE_DEV,SK041,0.457,0.457,Backend Developer,software engineer
BE_DEV,SK042,0.0467,0.0467,Backend Developer,bootstrap
BE_DEV,SK043,0.0373,0.0373,Backend Developer,big data
BE_DEV,SK044,0.0698,0.0698,Backend Developer,data structures
BE_DEV,SK045,0.0567,0.0567,Backend Developer,information technology
BE_DEV,SK046,0.0974,0.0974,Backend Developer,soap
BE_DEV,SK047,0.0725,0.0725,Backend Developer,mongodb
BE_DEV,SK048,0.0265,0.0265,Backend Developer,wordpress
BE_DEV,SK049,0.0819,0.0819,Backend Developer,.net
BE_DEV,SK050,0.0524,0.0524,Backend Developer,written communication
BE_DEV,SK051,0.1115,0.1115,Backend Developer,maven
BE_DEV,SK052,0.0326,0.0326,Backend Developer,web development
BE_DEV,SK053,0.0698,0.0698,Backend Developer,laravel
BE_DEV,SK054,0.0742,0.0742,Backend Developer,oops
BE_DEV,SK055,0.0107,0.0107,Backend Developer,ios
BE_DEV,SK056,0.048,0.048,Backend Developer,svn
BE_DEV,SK057,0.0416,0.0416,Backend Developer,network engineer
BE_DEV,SK058,0.0514,0.0514,Backend Developer,apache
BE_DEV,SK059,0.0322,0.0322,Backend Developer,web technologies
BE_DEV,SK060,0.0326,0.0326,Backend Developer,hadoop
BE_DEV,SK061,0.0201,0.0201,Backend Developer,windows
BE_DEV,SK062,0.1256,0.1256,Backend Developer,jsp
BE_DEV,SK063,0.0285,0.0285,Backend Developer,github
BE_DEV,SK064,0.0618,0.0618,Backend Developer,unix
BE_DEV,SK065,0.041,0.041,Backend Developer,angularjs
BE_DEV,SK066,0.0833,0.0833,Backend Developer,php developer
