skill_id,name,aliases,category,type
SK049,.net,.net,backend,technical
SK262,advanced java,advanced java,backend,technical
SK161,agile,agile,other,technical
SK033,ajax,ajax,other,technical
SK034,algorithms,algorithms,other,technical
SK070,android,android;android developer,mobile,technical
SK083,android development,android development,mobile,technical
SK081,android sdk,android sdk,mobile,technical
SK158,android studio,android studio,mobile,technical
SK065,angularjs,angularjs,frontend,technical
SK154,ant,ant,other,technical
SK058,apache,apache,other,technical
SK267,apache tomcat,apache tomcat,other,technical
SK021,api,api,other,technical
SK157,application development,application development,other,technical
SK215,application performance,application performance,other,technical
SK091,artificial intelligence,artificial intelligence,devops,technical
SK103,asp.net,asp.net,backend,technical
SK224,authoring,authoring,other,technical
SK181,aws,aws,cloud,technical
SK127,bgp,bgp,other,technical
SK043,big data,big data,other,technical
SK042,bootstrap,bootstrap,other,technical
SK263,brd,brd,other,technical
SK109,bug fixing,bug fixing,other,technical
SK067,business,business analyst,other,technical
SK145,business analysis,business analysis,other,technical
SK299,business applications,business applications,other,technical
SK296,business process,business process,other,technical
SK148,business requirements,business requirements,other,technical
SK014,c,c,other,technical
SK251,c ++,c ++,other,technical
SK219,cakephp,cakephp,backend,technical
SK105,cassandra,cassandra,other,technical
SK137,ccna,ccna,other,technical
SK160,ccnp,ccnp,other,technical
SK093,cisco,cisco,devops,technical
SK276,cisco routers,cisco routers,devops,technical
SK247,cli,cli,other,technical
SK136,cloud computing,cloud computing,cloud,technical
SK101,cloud services,cloud services,cloud,technical
SK243,cocoa,cocoa,other,technical
SK116,cocoa touch,cocoa touch,other,technical
SK092,codeigniter,codeigniter,other,technical
SK166,coding,coding,other,technical
SK255,computer engineering,computer engineering,other,technical
SK172,computer operator,computer operator,other,technical
SK239,computer science,computer science,devops,technical
SK182,configuration,configuration,other,technical
SK164,consultant,consultant,other,technical
SK108,crm,crm,other,technical
SK005,css,css,frontend,technical
SK270,dashboards,dashboards,other,technical
SK124,data,data analyst;data engineer,other,technical
SK177,data analysis,data analysis,analytics,technical
SK253,data analytics,data analytics,analytics,technical
SK153,data entry,data entry,other,technical
SK163,data entry operator,data entry operator,other,technical
SK115,data mining,data mining,other,technical
SK277,data science,data science,devops,technical
SK044,data structures,data structures,other,technical
SK273,data visualization,data visualization,other,technical
SK129,data warehousing,data warehousing,other,technical
SK012,database,database;database administrator,database,technical
SK234,database management,database management,database,technical
SK027,debugging,debugging,other,technical
SK205,design patterns,design patterns,other,technical
SK288,desktop,desktop engineer,other,technical
SK260,desktop support,desktop support engineer,other,technical
SK024,devops,devops,devops,technical
SK250,dhcp,dhcp,other,technical
SK292,director,director,other,technical
SK110,django,django,backend,technical
SK173,dns,dns,other,technical
SK029,docker,docker,devops,technical
SK125,drupal,drupal,other,technical
SK086,eclipse,eclipse,other,technical
SK221,eigrp,eigrp,other,technical
SK291,ejb,ejb,other,technical
SK185,elastic search,elastic search,other,technical
SK198,entity framework,entity framework,other,technical
SK192,etl,etl,other,technical
SK165,firewall,firewall,other,technical
SK141,forms,forms,other,technical
SK266,functional requirements,functional requirements,other,technical
SK074,fundamentals,fundamentals,other,technical
SK211,games,games,other,technical
SK155,gateway,gateway,other,technical
SK009,git,git,other,technical
SK063,github,github,other,technical
SK207,global delivery,global delivery,other,technical
SK089,gradle,gradle,other,technical
SK134,graphics,graphics,other,technical
SK220,groovy,groovy,other,technical
SK248,grunt,grunt,other,technical
SK060,hadoop,hadoop,other,technical
SK095,hardware,hardware;hardware engineer,other,technical
SK175,hbase,hbase,other,technical
SK244,hdfs,hdfs,other,technical
SK025,hibernate,hibernate,other,technical
SK106,hive,hive,other,technical
SK144,hosting,hosting,other,technical
SK297,hsrp,hsrp,other,technical
SK006,html,html,frontend,technical
SK022,html5,html5,frontend,technical
SK227,iam,iam,other,technical
SK228,image processing,image processing,other,technical
SK282,implementation,implementation,other,technical
SK254,information systems,information systems,other,technical
SK045,information technology,information technology,other,technical
SK011,infrastructure,infrastructure,other,technical
SK202,installation,installation,other,technical
SK269,intellij,intellij,other,technical
SK055,ios,ios;ios developer,mobile,technical
SK143,ios development,ios development,mobile,technical
SK231,ios sdk,ios sdk,mobile,technical
SK237,ipad,ipad,other,technical
SK180,iphone,iphone,other,technical
SK235,ipsec,ipsec,other,technical
SK225,it,it manager,other,technical
SK201,it hardware,it hardware engineer,other,technical
SK030,j2ee,j2ee,other,technical
SK222,j2ee technologies,j2ee technologies,other,technical
SK001,java,java;java developer,backend,technical
SK119,java ee,java ee,backend,technical
SK140,java programming,java programming,backend,technical
SK002,javascript,java script;javascript,frontend,technical
SK090,jdbc,jdbc,other,technical
SK147,jee,jee,other,technical
SK261,jira,jira,other,technical
SK104,joomla,joomla,ml_ai,technical
SK084,jpa,jpa,other,technical
SK015,jquery,jquery,other,technical
SK171,jsf,jsf,frontend,technical
SK019,json,json,frontend,technical
SK062,jsp,jsp,frontend,technical
SK208,juniper,juniper,other,technical
SK072,junit,junit,other,technical
SK294,lamp,lamp,other,technical
SK162,lan,lan,other,technical
SK053,laravel,laravel,backend,technical
SK200,leadership skills,leadership skills,soft_skill,soft
SK020,linux,linux,other,technical
SK031,machine learning,machine learning,ml_ai,technical
SK099,magento,magento,other,technical
SK051,maven,maven,other,technical
SK100,memory management,memory management,other,technical
SK295,mentor,mentor,other,technical
SK087,messaging,messaging,other,technical
SK174,microsoft azure,microsoft azure,cloud,technical
SK196,microsoft technologies,microsoft technologies,other,technical
SK190,middleware,middleware,other,technical
SK007,mobile,mobile,other,technical
SK258,mobile application development,mobile application development,other,technical
SK279,mobile applications,mobile applications,other,technical
SK142,mobile development,mobile development,other,technical
SK186,mockito,mockito,other,technical
SK047,mongodb,mongodb,database,technical
SK214,mpls,mpls,other,technical
SK252,mqtt,mqtt,other,technical
SK238,multimedia,multimedia,other,technical
SK114,multithreading,multithreading,other,technical
SK037,mvc,mvc,other,technical
SK246,mvc architecture,mvc architecture,other,technical
SK213,mvc framework,mvc framework,other,technical
SK289,mvp,mvp,other,technical
SK098,mvvm,mvvm,other,technical
SK194,natural language processing,natural language processing,other,technical
