job_uid,role_id,detected_domain,core_count,supporting_count,optional_count,generic_soft_count,domain_signal_count,total_skills
JOBS_000001,QA_AUTOMATION_ENG,QA_TESTING,1,1,10,5,0,17
JOBS_000002,JR_PROJECT_MANAGER,PROJECT_MANAGEMENT,4,0,14,2,2,22
JOBS_000003,MOBILE_DEV,MOBILE_ENGINEERING,3,1,13,4,4,25
JOBS_000004,STAFF_BE_DEV,FULLSTACK_ENGINEERING,4,4,26,5,11,50
JOBS_000005,JR_PROJECT_MANAGER,PROJECT_MANAGEMENT,1,0,11,4,3,19
JOBS_000006,SENIOR_MOBILE_DEV,MOBILE_ENGINEERING,0,0,14,3,2,19
JOBS_000007,FE_DEV,FULLSTACK_ENGINEERING,4,2,25,5,9,45
JOBS_000008,SENIOR_SRE,DEVOPS_SRE,2,0,13,5,4,24
JOBS_000009,SENIOR_DATA_ENGINEER,DATA_ENGINEERING,5,1,18,5,5,34
JOBS_000010,FE_DEV,FULLSTACK_ENGINEERING,2,1,8,3,3,17
JOBS_000011,JR_QA_ENG,QA_TESTING,3,1,11,7,1,23
JOBS_000012,STAFF_BE_DEV,FULLSTACK_ENGINEERING,4,3,17,9,4,37
JOBS_000013,SENIOR_PROGRAM_MANAGER,FULLSTACK_ENGINEERING,0,0,16,5,6,27
JOBS_000014,STAFF_CLOUD_ENG,CLOUD_ENGINEERING,3,0,33,4,10,50
JOBS_000015,SENIOR_BE_DEV,FULLSTACK_ENGINEERING,1,3,22,5,9,40
JOBS_000016,SENIOR_DATA_ENGINEER,DATA_ENGINEERING,4,2,20,7,10,43
JOBS_000017,MOBILE_DEV,MOBILE_ENGINEERING,3,1,22,5,6,37
JOBS_000018,LEAD_FE_DEV,FULLSTACK_ENGINEERING,4,5,19,9,13,50
JOBS_000019,SE_II,FULLSTACK_ENGINEERING,1,0,11,3,1,16
JOBS_000020,ML_RESEARCH_SCIENTIST,AI_ML,0,0,11,3,2,16
JOBS_000021,LEAD_BE_DEV,FULLSTACK_ENGINEERING,1,5,16,3,4,29
JOBS_000022,SENIOR_DATA_ENGINEER,DATA_ENGINEERING,0,0,16,5,1,22
JOBS_000023,STAFF_DATA_ENGINEER,DATA_ENGINEERING,0,0,15,4,2,21
JOBS_000024,FE_DEV,FULLSTACK_ENGINEERING,2,2,11,1,1,17
JOBS_000025,JR_BE_DEV,FULLSTACK_ENGINEERING,2,1,10,1,4,18
JOBS_000026,BE_DEV,FULLSTACK_ENGINEERING,4,2,9,3,3,21
JOBS_000027,BE_DEV,FULLSTACK_ENGINEERING,2,3,12,4,9,30
