skill_id,name,category,type,domains
SK566,autogen,ai_ml,technical,
SK569,llama,ai_ml,technical,
SK568,semantic kernel,ai_ml,technical,
SK567,crewai,ai_ml,technical,
SK565,ai agents,ai_ml,technical,
SK564,midjourney,ai_ml,technical,
SK563,stable diffusion,ai_ml,technical,
SK574,generative ai,ai_ml,technical,
SK562,anthropic claude,ai_ml,technical,
SK575,multimodal ai,ai_ml,technical,
SK582,triton inference server,ai_ml,technical,
SK583,bentoml,ai_ml,technical,
SK584,seldon core,ai_ml,technical,
SK585,ml monitoring,ai_ml,technical,
SK571,gemini api,ai_ml,technical,
SK586,experiment tracking,ai_ml,technical,
SK561,openai api,ai_ml,technical,
SK559,vector databases,ai_ml,technical,AI_ML
SK557,prompt engineering,ai_ml,technical,AI_ML
SK556,retrieval augmented generation,ai_ml,technical,AI_ML
SK641,text summarization,ai_ml,technical,
SK330,mojo,ai_ml,technical,AI_ML
SK555,llamaindex,ai_ml,technical,AI_ML
SK554,langchain,ai_ml,technical,AI_ML
SK551,large language models,ai_ml,technical,AI_ML
SK541,onnx,ai_ml,technical,AI_ML
SK540,fastai,ai_ml,technical,AI_ML
SK323,lisp,ai_ml,technical,
SK539,catboost,ai_ml,technical,AI_ML
SK590,evidently ai,ai_ml,technical,
SK572,copilot integration,ai_ml,technical,
SK408,deno,backend,technical,
SK409,bun,backend,technical,
SK310,f#,backend,technical,
SK324,ocaml,backend,technical,
SK406,drizzle orm,backend,technical,
SK394,actix web,backend,technical,
SK391,gin,backend,technical,
SK386,adonis.js,backend,technical,
SK325,zig,backend,technical,
SK348,openmp,backend,technical,
SK329,d language,backend,technical,
SK328,v lang,backend,technical,
SK326,nim,backend,technical,
SK847,zero knowledge proofs,blockchain,technical,
SK845,blockchain security,blockchain,technical,
SK1104,linux foundation certified sysadmin,certification,credential,
SK1107,docker certified associate,certification,credential,
SK1106,lpic-1,certification,credential,
SK1105,linux foundation certified engineer,certification,credential,
SK1103,red hat openshift administrator,certification,credential,
SK1108,mongodb developer certification,certification,credential,
SK1101,microsoft certified devops expert,certification,credential,
SK1081,ibm data science professional,certification,credential,
SK1097,lean it foundation,certification,credential,
SK1067,pentest+,certification,credential,
SK1063,gpen,certification,credential,
SK1059,security+,certification,credential,SECURITY
SK1055,cks,certification,credential,
SK1052,hashicorp vault associate,certification,credential,
SK1051,hashicorp terraform associate,certification,credential,
SK1068,casp+,certification,credential,
SK1050,gcp security engineer,certification,credential,
SK1048,gcp ml engineer,certification,credential,
SK1046,gcp professional architect,certification,credential,
SK1045,gcp cloud engineer,certification,credential,
SK1031,aws devops engineer professional,certification,credential,
SK1032,aws data analytics specialty,certification,credential,
SK1033,aws machine learning specialty,certification,credential,
SK1049,gcp devops engineer,certification,credential,
SK1069,crtp,certification,credential,
SK1071,tensorflow developer certificate,certification,credential,
SK1072,databricks certified data engineer,certification,credential,
SK1095,six sigma black belt,certification,credential,
SK1146,okta certified professional,certification,credential,
SK1089,safe agilist,certification,credential,
SK1085,tableau desktop specialist,certification,credential,
SK1084,nvidia deep learning institute,certification,credential,
SK1082,google data analytics certificate,certification,credential,
SK1109,neo4j certified professional,certification,credential,
SK1080,sas certified specialist,certification,credential,
SK1079,microsoft power bi da-100,certification,credential,
SK1078,microsoft data scientist dp-100,certification,credential,
SK1077,cloudera data analyst,certification,credential,
SK1076,apache spark certification,certification,credential,
SK1075,dbt analytics engineering,certification,credential,
SK1074,snowflake snowpro core,certification,credential,
SK1073,databricks certified ml professional,certification,credential,
SK1099,oracle certified associate java,certification,credential,
SK1110,confluent kafka certification,certification,credential,
SK1147,figma certification,certification,credential,
SK1112,istio certified associate,certification,credential,
SK1115,microsoft 365 developer,certification,credential,
SK1116,spring professional certification,certification,credential,
SK1117,graphql certification,certification,credential,
SK1120,salesforce architect,certification,credential,
SK1121,salesforce consultant,certification,credential,
SK1123,sap s/4hana,certification,credential,
SK1126,servicenow certified app developer,certification,credential,
SK1127,servicenow certified implementation specialist,certification,credential,
SK1129,cisco ccnp enterprise,certification,credential,
