,precision,recall,f1-score,support
AI_ML_ENGINEER_INT,0.0,0.0,0.0,0.0
DATA_ANALYST_INT,0.0,0.0,0.0,0.0
DATA_ENGINEER_INT,0.5,1.0,0.6666666666666666,1.0
DEVOPS_TRAINEE,0.0,0.0,0.0,0.0
INTERN_SE,0.0,0.0,0.0,0.0
JR_BE_DEV,0.0,0.0,0.0,5.0
JR_BUSINESS_ANALYST,0.0,0.0,0.0,0.0
JR_FE_DEV,0.6666666666666666,0.5,0.5714285714285714,4.0
JR_FS_DEV,0.0,0.0,0.0,0.0
JR_IT_SUPPORT,0.0,0.0,0.0,0.0
JR_MOBILE_DEV,0.0,0.0,0.0,2.0
JR_QA_ENG,0.6,1.0,0.75,3.0
JR_SE,0.0,0.0,0.0,0.0
JR_SYS_ADMIN,0.5,1.0,0.6666666666666666,1.0
JR_UI_UX_DESIGNER,0.0,0.0,0.0,0.0
accuracy,0.4375,0.4375,0.4375,0.4375
macro avg,0.1511111111111111,0.23333333333333334,0.17698412698412697,16.0
weighted avg,0.3416666666666667,0.4375,0.3668154761904762,16.0
