program_name,district,cutoff_zscore
& TECHNOLOGY MANAGEMENT (Wayamba University of Sri Lanka),Ampara,0.9771
& TECHNOLOGY MANAGEMENT (Wayamba University of Sri Lanka),Anuradhapura,0.7676
& TECHNOLOGY MANAGEMENT (Wayamba University of Sri Lanka),Badulla,1.0085
& TECHNOLOGY MANAGEMENT (Wayamba University of Sri Lanka),Batticaloa,0.9011
& TECHNOLOGY MANAGEMENT (Wayamba University of Sri Lanka),Colombo,0.9869
& TECHNOLOGY MANAGEMENT (Wayamba University of Sri Lanka),Galle,0.9769
& TECHNOLOGY MANAGEMENT (Wayamba University of Sri Lanka),Gampaha,1.022
& TECHNOLOGY MANAGEMENT (Wayamba University of Sri Lanka),Hambantota,0.8984
& TECHNOLOGY MANAGEMENT (Wayamba University of Sri Lanka),Jaffna,0.6882
& TECHNOLOGY MANAGEMENT (Wayamba University of Sri Lanka),Kalutara,0.9994
& TECHNOLOGY MANAGEMENT (Wayamba University of Sri Lanka),Kandy,1.0268
& TECHNOLOGY MANAGEMENT (Wayamba University of Sri Lanka),Kegalle,0.9943
& TECHNOLOGY MANAGEMENT (Wayamba University of Sri Lanka),Kilinochchi,0.7177
& TECHNOLOGY MANAGEMENT (Wayamba University of Sri Lanka),Kurunegala,0.9546
& TECHNOLOGY MANAGEMENT (Wayamba University of Sri Lanka),Mannar,0.5314
& TECHNOLOGY MANAGEMENT (Wayamba University of Sri Lanka),Matale,1.0095
& TECHNOLOGY MANAGEMENT (Wayamba University of Sri Lanka),Matara,1.0085
& TECHNOLOGY MANAGEMENT (Wayamba University of Sri Lanka),Monaragala,1.027
& TECHNOLOGY MANAGEMENT (Wayamba University of Sri Lanka),Mullaitivu,0.9459
& TECHNOLOGY MANAGEMENT (Wayamba University of Sri Lanka),Nuwara Eliya,1.0448
& TECHNOLOGY MANAGEMENT (Wayamba University of Sri Lanka),Polonnaruwa,0.9534
& TECHNOLOGY MANAGEMENT (Wayamba University of Sri Lanka),Puttalam,1.0229
& TECHNOLOGY MANAGEMENT (Wayamba University of Sri Lanka),Trincomalee,0.846
& TECHNOLOGY MANAGEMENT (Wayamba University of Sri Lanka),Vavuniya,1.0021
"(Gampaha Wickramarachchi University of Indigenous Medicine, Sri Lanka)",Ampara,1.259
"(Gampaha Wickramarachchi University of Indigenous Medicine, Sri Lanka)",Ampara,1.0297
"(Gampaha Wickramarachchi University of Indigenous Medicine, Sri Lanka)",Ampara,0.6182
"(Gampaha Wickramarachchi University of Indigenous Medicine, Sri Lanka)",Ampara,0.5011
"(Gampaha Wickramarachchi University of Indigenous Medicine, Sri Lanka)",Ampara,1.0313
"(Gampaha Wickramarachchi University of Indigenous Medicine, Sri Lanka)",Ampara,1.1208
"(Gampaha Wickramarachchi University of Indigenous Medicine, Sri Lanka)",Ampara,0.6671
"(Gampaha Wickramarachchi University of Indigenous Medicine, Sri Lanka)",Ampara,1.2619
"(Gampaha Wickramarachchi University of Indigenous Medicine, Sri Lanka)",Ampara,1.2726
"(Gampaha Wickramarachchi University of Indigenous Medicine, Sri Lanka)",Anuradhapura,0.994
"(Gampaha Wickramarachchi University of Indigenous Medicine, Sri Lanka)",Anuradhapura,0.8619
"(Gampaha Wickramarachchi University of Indigenous Medicine, Sri Lanka)",Anuradhapura,0.8476
"(Gampaha Wickramarachchi University of Indigenous Medicine, Sri Lanka)",Anuradhapura,0.8358
"(Gampaha Wickramarachchi University of Indigenous Medicine, Sri Lanka)",Anuradhapura,1.172
"(Gampaha Wickramarachchi University of Indigenous Medicine, Sri Lanka)",Anuradhapura,1.0152
"(Gampaha Wickramarachchi University of Indigenous Medicine, Sri Lanka)",Anuradhapura,1.019
