degree_name,Type,Institute,Faculty
Bachelor of Science (Special) in Agricultural,Postgraduate,University of Peradeniya,Faculty of Agriculture
Bachelor of Science in Animals Sciences & Fis,Undergraduate,University of Peradeniya,Faculty of Agriculture
Bachelor of Science in Food Science & Technol,Undergraduate,University of Peradeniya,Faculty of Agriculture
Bachelor of Pharmacy (B.Pharm),Undergraduate,University of Peradeniya,Faculty of Allied Health Sciences
Bachelor of Science in Medical Laboratory Sci,Undergraduate,University of Peradeniya,Faculty of Allied Health Sciences
Bachelor of Science in Nursing,Undergraduate,University of Peradeniya,Faculty of Allied Health Sciences
Bachelor of Science in Physiotherapy,Undergraduate,University of Peradeniya,Faculty of Allied Health Sciences
Bachelor of Science in Radiography / Radiothe,Undergraduate,University of Peradeniya,Faculty of Allied Health Sciences
Bachelor of Arts (General),Undergraduate,University of Colombo,Faculty of Arts
Postgraduate Diploma / Master of Travel and T,Postgraduate,University of Colombo,Faculty of Arts
Bachelor of Arts (Special) in Demography,Undergraduate,University of Colombo,Faculty of Arts
Bachelor of Arts (Special) in Economics,Undergraduate,University of Colombo,Faculty of Arts
Bachelor of Arts (Special) in English,Undergraduate,University of Colombo,Faculty of Arts
Bachelor of Arts (Special) in Geography,Undergraduate,University of Colombo,Faculty of Arts
Bachelor of Arts (Special) in History,Undergraduate,University of Colombo,Faculty of Arts
Bachelor of Arts (Special) in International R,Undergraduate,University of Colombo,Faculty of Arts
Bachelor of Arts (Special) in Political Scien,Undergraduate,University of Colombo,Faculty of Arts
Bachelor of Arts (Special) in Sinhala,Undergraduate,University of Colombo,Faculty of Arts
Bachelor of Arts (Special) in Sociology,Undergraduate,University of Colombo,Faculty of Arts
Bachelor of Education (Special),Postgraduate,University of Colombo,Faculty of Education
Master of Arts Regional Development and Plann,Postgraduate,University of Colombo,Faculty of Graduate Studies
Postgraduate Diploma in Public Management,Postgraduate,University of Colombo,Faculty of Graduate Studies
Master of Public Management,Postgraduate,University of Colombo,Faculty of Graduate Studies
