name,provider,scholarship_type,description,eligibility,benefits,deadline,url,country,degree_level,field_of_study,financial_need_required,source
University Bursary (OUSL),Open University Sri Lanka (OUSL),university,Award of 50% of tuition fee paid by student in previous academic year. A student may be awarded only in two academic years at different Levels of study program.,"* Student should have been registered for minimum 2 years programme
* Must be registered for Level 4 or above in undergraduate programme
* Minimum GPA of 2.0 in previous year (min 15 credits)
* Gross family income < Rs 500,000/-
* No disciplinary action should have been taken
* Application with Grama Niladhari Certificate required",50% of tuition fee,Within 6 weeks from date of late registration,https://ou.ac.lk/student-affairs-division/university-scholarships/,Sri Lanka,undergraduate,various,unknown,Open University Sri Lanka (OUSL)
Open University Enrollment Bursary,Open University Sri Lanka (OUSL),university,"Awarded to first year enrollment, essentially for economically disadvantaged students. Award value is 50% of tuition fees of courses registered in first year.","* Student must be registered for minimum 2 years programme starting at Level 3
* Annual gross family income < Rs 500,000/-
* Must participate in continuous assessment and academic activities
* No disciplinary action should have been taken
* Grama Sewaka certificate required
* Cannot obtain again if already received at diploma level",50% of tuition fees (first year only),Within 6 weeks from date of late registration,https://ou.ac.lk/student-affairs-division/university-scholarships/,Sri Lanka,undergraduate,various,unknown,Open University Sri Lanka (OUSL)
Mahapola Scholarships (OUSL),Open University Sri Lanka (OUSL),university,"Awarded by ""Mahapola Higher Education Scholarship Trust Fund"" to value of Rs. 8,000/- towards payment of tuition fees of courses.","* Must be registered for Level 4 in undergraduate programme (current year)
* Minimum GPA of 2.0 in previous year (min 15 credits)
* Not employed or engaged in other higher education
* Age not exceeding 30 years
* Parental income ceiling Rs. 300,000/- per annum
* Student or sibling not already receiving Mahapola elsewhere
* No disciplinary action taken
* Grama Niladhari Certificate required","Rs. 8,000/- per scholarship",Within 6 weeks from date of late registration,https://ou.ac.lk/student-affairs-division/university-scholarships/,Sri Lanka,undergraduate,various,unknown,Open University Sri Lanka (OUSL)
Mahapola Scholarships at Open University of Sri Lanka,Scholarship Positions,international,Interested candidates are invited to apply for the Mahapola Scholarships at the Open University of Sri Lanka for the academic year 2021-2022. The program is designed to support ambitious aspirants who are going to pursue abachelor’sdegree programme at the university.,"Eligible Countries:
Eligible Course or Subjects: Th
Eligibility Criteria:
• Eligible Countries:Sri Lanka
• Eligible Course or Subjects: The scholarship will be awarded in any subject offered by the university
• Eligibility Criteria: To be eligible, the applicants must meet all the given criteria:
• Applicants must have Level 04 and an Average GPA of 2.0 or more
• How to Apply:To being enlisted in the programme, aspirants must have to enroll in theundergraduate degree programmeat the university.
• Supporting Documents:Students must have to submit the academic transcripts of all the previous school attended and copy of national ID card.
• Admission Requirements:Applicants must hold a high-school degree.
• Language Requirement:Aspirants must be proficient in written and spoken the English and local language.",Rs 800,Open,https://scholarship-positions.com/mahapola-scholarships-at-open-university-of-sri-lanka/2021/08/09/,Sri Lanka,various,various,unknown,Scholarship Positions
"Scholarship Programme at Eastern Polytechnic, Sri Lanka",Scholarship Positions,international,Apply for admission at the Eastern Polytechnic and get a chance to fund your study with the scholarship programme for the academic year 2021-2022. The bursary aims to support students commencing in theundergraduatedegree programme at Eastern Polytechnic.,"Eligible Countries:
The scholarship will be awarded in any subject offered by the university
Eligibility Criteria:
• Eligible Countries:Sri Lanka
• Eligible Course or Subjects:The scholarship will be awarded in any subject offered by the university
• Eligibility Criteria:To be eligible, the applicants must meet all the given criteria:
• Applicants must be Sri Lankan students
• Aspirants must have to enroll in the undergraduate degree pogramme.",N/A,Open,https://scholarship-positions.com/scholarship-programme-at-eastern-polytechnic-sri-lanka/2021/06/05/,Sri Lanka,various,various,unknown,Scholarship Positions
President’s Scholarships Scheme in Sri Lanka,Scholarship Positions,international,Get financial support to start your academic journey inSri Lanka! The Government of Sri Lanka is providing a chance to apply for the President’s Scholarships for deserving students. The sponsorship programme supports low-income families students who have passed G.C.E. with distinction and want to ap,"Eligible Countries
Acceptable Course or Subjects
Eligibility Criteria:
• Eligible Countries: Sri Lanka
• Acceptable Course or Subjects: Any degree study in any subject area.
• Admissible Criteria: To be eligible, applicants must have to meet the following criteria:
• Full-time first-year in any degree study enrolled in any program of study
• Should have passed G.C.E.(O/L) with distinction at the first sitting
• Being a child of a low-income family
• Not being a Grade 5 scholarship holder
• Should be a student of either a Government school or a non-fee levying private school",N/A,Open,https://scholarship-positions.com/presidents-scholarships-scheme-in-sri-lanka/2020/09/04/,Sri Lanka,various,various,unknown,Scholarship Positions
Ranaviru Pranama Scholarships Scheme at Skills College of Technology in Sri Lanka,Scholarship Positions,international,Do you need funding to support your study inSri Lanka? Then you are at the right place! Skills College of Technology is providing the Ranaviru Pranama Scholarships Scheme for the year 2020. The opportunity is available for those brilliant students who want to apply for any degree coursework at the c,"Eligible Countries
Eligible Course or Subjects
Eligibility Criteria:
• Eligible Countries: Sri Lanka
• Eligible Course or Subjects: Any degree coursework in any subject stream offered by the college.
• Eligibility Criteria: To be eligible, the applicants must meet all the given criteria:
• Aspirants must be a Sri Lanka citizen
• Scholarship to all members of armed forces and police and their immediate family members
• How to Apply:For being enlisted in the program, applicants are needed toregisterin any degree program at the college. After taking affirmation, you can win the opportunity.
• Supporting Documents:You must provide your CV, Pre-qualification degree, copies of academic transcripts and award, certificates of English language proficiency, a statement, and a copy of passport.
• Admission Requirements:Before applying, you mandatory to have a high school result with a good record.
• Language Requirement:Entrants who belong to any non-English speaking country are required to submit official exam results demonstrating their English proficiency.",Award: 20,Open,https://scholarship-positions.com/ranaviru-pranama-scholarships-scheme-at-skills-college-of-technology-in-sri-lanka/2020/09/04/,Sri Lanka,various,various,unknown,Scholarship Positions
Dialog Foundation Scholarships in Sri Lanka,Scholarship Positions,international,Get your undergraduate degree inSri Lanka! Applications are exclusively open for the Dialog Foundation Scholarships to high-potential students in Sri Lanka. The scholarship provides financial support for Sri Lankan students who want to undertake theundergraduatedegree program at any university in th,"Eligible Countries
Eligible Course or Subjects
Eligibility Criteria:
• Eligible Countries: Sri Lanka.
• Eligible Course or Subjects: Undergraduate degree in any subject stream.
• Eligibility Criteria: To be eligible, the applicants must meet all the given criteria:
• The scholarship will be awarded to top performers at the general certificate of education ordinary level and g.c.e. advanced level examinations each year to help students further pursue their higher education.
• How to Apply:To apply for the award, aspirants must have to take admission in theundergraduate degree programat the host university. After that, you can apply for the award.
• Supporting Documents:Students have to attach transcripts of all the previous school attended, a copy of national ID, a statement and CV.
• Admission Requirements:Students must hold a previous degree with minimum results in Sri Lanka or overseas equivalent.
• Language Requirement:Applicants must have to provide the standardised test scores of the English language proficiency.",N/A,Open for 2020,https://scholarship-positions.com/dialog-foundation-scholarships-in-sri-lanka/2020/05/27/,Sri Lanka,various,various,unknown,Scholarship Positions
"Postgraduate Scholarships for Sri Lankan Students in India, 2020",Scholarship Positions,international,"To encourage the education of Sri Lankan students inIndia, Government of India is offering the postgraduate scholarships for the academic session 2020-21. The educational award is accessible for Sri Lankan candidates who are going to take part in themastersandPhDdegree program at the host university","Eligible Countries
Eligible Course or Subjects
Eligibility Criteria:
• Eligible Countries: Sri Lanka
• Eligible Course or Subjects: Masters and the PhD degree in Ayurveda, Yoga, Unani, Siddha and Homeopathy.
• Eligibility Criteria: To be eligible, the applicants must meet all the given criteria:
• Aspirants should be a citizen of Sri Lanka.
• Masters applicants must have a BAMS degree recognized by CCIM and PhD applicants must have an MD (Ayurveda) degree recognized by CCIM.
• Applicants should be below 50 years of age as at 15.06.2019.
• Applicants must be employed in the Public Sector, University, or a State Corporation
• Applicants should be confirmed in the service by the closing date of applications",N/A,"June 1, 2020",https://scholarship-positions.com/postgraduate-scholarships-for-sri-lankan-students-in-india/2020/05/27/,Sri Lanka,various,various,unknown,Scholarship Positions
"Prima Ceylon Scholarship for Sri Lankan Students at Singapore Management University, 2024",Scholarship Positions,international,Get financial support to start your academic journey inSingapore. The Singapore Management University is giving an opportunity to apply for the Prima Ceylon Scholarship. The funding program is available for Sri Lankan students. The scholarship encourages motivated students who wish to undertakeunder,"Eligible Countries
Acceptable Course or Subjects
Eligibility Criteria:
• Eligible Countries: Sri Lanka
• Acceptable Course or Subjects: Bachelor of Accountancy, Bachelor of Business Management, Bachelor of Science (Economics), Bachelor of Science (Information Systems), Bachelor of Science (Computer Science), Bachelor of Science (Computing & Law), Bachelor of Laws and Bachelor of Social Science.
• Admissible Criteria: To be eligible, applicants must have to meet the following criteria:
• Full-time first-year undergraduates enrolled in any program of study.
• Good academic results.
• Demonstrated high standards of personal conduct.
• Active participation in community service and co-curricular activities.
• With demonstrated financial needs.","$22,500","May 31, 2024",https://scholarship-positions.com/prima-ceylon-scholarship-for-sri-lankan-students-at-singapore-management-university/2020/04/27/,Sri Lanka,various,various,unknown,Scholarship Positions
